ori,data_year,offense,state_abbr,cleared,actual
AL0010000,2009,aggravated-assault,AL,45,244
AL0010000,2010,aggravated-assault,AL,23,184
AL0010000,2011,aggravated-assault,AL,160,352
AL0010000,2012,aggravated-assault,AL,218,427
AL0010000,2013,aggravated-assault,AL,208,436
AL0010000,2014,aggravated-assault,AL,185,440
AL0010000,2015,aggravated-assault,AL,181,484
AL0010000,2016,aggravated-assault,AL,170,467
AL0010100,2009,aggravated-assault,AL,49,325
AL0010100,2010,aggravated-assault,AL,38,183
AL0010100,2011,aggravated-assault,AL,60,305
AL0010100,2012,aggravated-assault,AL,62,394
AL0010100,2013,aggravated-assault,AL,34,348
AL0010100,2014,aggravated-assault,AL,21,248
AL0010100,2015,aggravated-assault,AL,8,336
AL0010100,2016,aggravated-assault,AL,5,604
AL0010200,2009,aggravated-assault,AL,0,1399
AL0010200,2010,aggravated-assault,AL,0,826
AL0010200,2011,aggravated-assault,AL,0,1916
AL0010200,2012,aggravated-assault,AL,0,2035
AK0015600,2009,aggravated-assault,AK,32,64
AK0015600,2010,aggravated-assault,AK,25,52
AK0015600,2011,aggravated-assault,AK,16,34
AK0015600,2012,aggravated-assault,AK,25,35
AK0015600,2013,aggravated-assault,AK,14,31
AK0015600,2014,aggravated-assault,AK,20,46
AK0015600,2015,aggravated-assault,AK,14,29
AK0015600,2016,aggravated-assault,AK,22,46
AKAST0100,2014,aggravated-assault,AK,633,795
AKAST0100,2015,aggravated-assault,AK,571,776
AKAST0100,2016,aggravated-assault,AK,621,874
AK0010100,2009,aggravated-assault,AK,1134,1658
AK0010100,2010,aggravated-assault,AK,1129,1701
AK0010100,2011,aggravated-assault,AK,1003,1628
AK0010100,2012,aggravated-assault,AK,1107,1673
AK0010100,2013,aggravated-assault,AK,961,1491
AK0010100,2014,aggravated-assault,AK,1035,1705
AK0010100,2015,aggravated-assault,AK,1142,2062
AK0010100,2016,aggravated-assault,AK,1208,2157
AK0010200,2009,aggravated-assault,AK,57,163
AZ0010000,2009,aggravated-assault,AZ,21,23
AZ0010000,2010,aggravated-assault,AZ,10,16
AZ0010000,2011,aggravated-assault,AZ,36,43
AZ0010000,2012,aggravated-assault,AZ,28,50
AZ0010000,2013,aggravated-assault,AZ,34,48
AZ0010000,2014,aggravated-assault,AZ,41,56
AZ0010000,2015,aggravated-assault,AZ,16,19
AZ0010000,2016,aggravated-assault,AZ,27,34
AZ0010100,2009,aggravated-assault,AZ,5,8
AZ0010100,2010,aggravated-assault,AZ,7,9
AZ0010100,2011,aggravated-assault,AZ,5,6
AZ0010100,2012,aggravated-assault,AZ,3,3
AZ0010100,2013,aggravated-assault,AZ,13,14
AZ0010100,2014,aggravated-assault,AZ,5,5
AZ0010100,2015,aggravated-assault,AZ,4,7
AZ0010100,2016,aggravated-assault,AZ,2,6
AZ0010300,2009,aggravated-assault,AZ,0,0
AZ0010300,2010,aggravated-assault,AZ,1,2
AZ0010300,2011,aggravated-assault,AZ,0,0
AZ0010300,2012,aggravated-assault,AZ,0,0
ARASP0000,2009,aggravated-assault,AR,0,0
ARASP0000,2010,aggravated-assault,AR,0,0
ARASP0000,2011,aggravated-assault,AR,0,0
ARASP0000,2012,aggravated-assault,AR,0,0
ARASP0000,2013,aggravated-assault,AR,0,0
ARASP0000,2014,aggravated-assault,AR,0,0
ARASP0000,2015,aggravated-assault,AR,0,0
ARASP0000,2016,aggravated-assault,AR,0,0
AR0010000,2009,aggravated-assault,AR,2,5
AR0010000,2010,aggravated-assault,AR,2,6
AR0010000,2011,aggravated-assault,AR,4,5
AR0010000,2012,aggravated-assault,AR,5,9
AR0010000,2013,aggravated-assault,AR,2,12
AR0010000,2014,aggravated-assault,AR,0,5
AR0010000,2015,aggravated-assault,AR,1,7
AR0010000,2016,aggravated-assault,AR,3,7
AR0010100,2009,aggravated-assault,AR,1,13
AR0010100,2010,aggravated-assault,AR,3,8
AR0010100,2011,aggravated-assault,AR,13,22
AR0010100,2012,aggravated-assault,AR,8,14
CA0010000,2009,aggravated-assault,CA,205,346
CA0010000,2010,aggravated-assault,CA,262,437
CA0010000,2011,aggravated-assault,CA,313,478
CA0010000,2012,aggravated-assault,CA,279,417
CA0010000,2013,aggravated-assault,CA,299,428
CA0010000,2014,aggravated-assault,CA,247,378
CA0010000,2015,aggravated-assault,CA,187,314
CA0010000,2016,aggravated-assault,CA,206,347
CA0010100,2009,aggravated-assault,CA,80,95
CA0010100,2010,aggravated-assault,CA,66,83
CA0010100,2011,aggravated-assault,CA,72,97
CA0010100,2012,aggravated-assault,CA,58,70
CA0010100,2013,aggravated-assault,CA,49,63
CA0010100,2014,aggravated-assault,CA,59,73
CA0010100,2015,aggravated-assault,CA,53,78
CA0010100,2016,aggravated-assault,CA,66,74
CA0010200,2009,aggravated-assault,CA,7,8
CA0010200,2010,aggravated-assault,CA,6,8
CA0010200,2011,aggravated-assault,CA,2,7
CA0010200,2012,aggravated-assault,CA,3,7
CO0010000,2009,aggravated-assault,CO,167,286
CO0010000,2010,aggravated-assault,CO,199,338
CO0010000,2011,aggravated-assault,CO,159,267
CO0010000,2012,aggravated-assault,CO,162,287
CO0010000,2013,aggravated-assault,CO,152,273
CO0010000,2014,aggravated-assault,CO,168,318
