data_year,offense,state_abbr,cleared,actual
2009,all,AL,1982,63942
2009,all,AK,8018,29707
2009,all,AZ,236,620
2009,all,AR,22,511
2009,all,CA,2034,11939
2009,all,CO,7725,31770
2009,all,CT,436,1780
2009,all,DE,2567,5657
2009,all,FL,6862,23644
2009,all,GA,252,524
2009,all,HI,1227,90453
2009,all,ID,4103,16052
2009,all,IL,0,3257
2009,all,IN,52,278
2009,all,IA,49,289
2009,all,KS,205,685
2009,all,KY,10,80
2009,all,LA,1032,2959
2009,all,ME,1586,4597
2009,all,MT,183,622
2009,all,NE,329,1972
2009,all,NV,29067,122122
2009,all,NH,15,151
2009,all,NJ,1366,7121
2009,all,NM,15394,74345
2009,all,NY,2263,11715
2009,all,NC,3251,10250
2009,all,ND,24,174
2009,all,OH,78,703
2009,all,OK,174,789
2009,all,OR,10,282
2009,all,MD,1206,3476
2009,all,MA,1194,5055
2009,all,MI,121,605
2009,all,MN,753,3869
2009,all,MS,268,2637
2009,all,MO,274,1555
2009,all,PA,1,628
2009,all,RI,214,1624
2009,all,SC,384,1398
2009,all,SD,14,64
2009,all,TN,761,3287
2009,all,TX,647,3139
2009,all,UT,343,1576
2009,all,VT,65,551
2009,all,VA,270,1436
2009,all,WA,333,1694
2009,all,WV,26,116
2009,all,WI,262,1154
2009,all,WY,250,1861
2010,all,AL,1008,37369
2010,all,AK,7127,25937
2010,all,AZ,250,703
2010,all,AR,26,546
2010,all,CA,2178,11375
2010,all,CO,7508,31520
2010,all,CT,360,1817
2010,all,DE,2480,5730
2010,all,FL,6138,19742
2010,all,GA,1,581
2010,all,HI,1096,85754
2010,all,ID,4284,15617
2010,all,IL,0,3508
2010,all,IN,30,210
2010,all,IA,78,288
2010,all,KS,134,743
2010,all,KY,12,137
2010,all,LA,0,1276
2010,all,ME,1584,4622
2010,all,MT,201,518
2010,all,NE,280,1838
2010,all,NV,26462,112516
2010,all,NH,11,166
2010,all,NJ,1249,8013
2010,all,NM,15793,69511
2010,all,NY,2216,12286
2010,all,NC,3266,10572
2010,all,ND,27,228
2010,all,OH,136,539
2010,all,OK,145,838
2010,all,OR,20,461
2010,all,MD,1601,3785
2010,all,MA,1272,4860
2010,all,MI,108,442
2010,all,MN,874,3843
2010,all,MS,62,3393
2010,all,MO,268,1685
2010,all,PA,2,601
2010,all,RI,223,1494
2010,all,SC,356,1387
2010,all,SD,2,76
2010,all,TN,714,3398
2010,all,TX,574,2549
2010,all,UT,327,1378
2010,all,VT,124,741
2010,all,VA,273,1276
2010,all,WA,384,1860
2010,all,WV,48,128
2010,all,WI,182,896
2010,all,WY,281,2024
2011,all,AL,2194,58826
2011,all,AK,6589,24515
2011,all,AZ,365,772
2011,all,AR,50,503
2011,all,CA,1916,11087
2011,all,CO,7213,30620
2011,all,CT,383,1961
2011,all,DE,2783,6273
2011,all,FL,6184,18976
2011,all,GA,490,1601
2011,all,HI,6049,82128
2011,all,ID,4130,14751
2011,all,IL,0,3510
2011,all,IN,40,264
2011,all,IA,22,220
2011,all,KS,176,875
2011,all,KY,27,145
2011,all,LA,994,3257
2011,all,ME,1840,5655
2011,all,MT,193,588
2011,all,NE,418,2224
2011,all,NV,21432,105333
2011,all,NH,26,305
2011,all,NJ,1401,7818
2011,all,NM,16582,72099
2011,all,NY,2120,12128
2011,all,NC,3265,10785
2011,all,ND,22,264
2011,all,OH,18,204
2011,all,OK,112,951
2011,all,OR,21,438
2011,all,MD,1725,4051
2011,all,MA,1105,4335
2011,all,MI,119,539
2011,all,MN,980,4355
2011,all,MS,866,3457
2011,all,MO,278,1862
2011,all,PA,446,623
2011,all,RI,198,1562
2011,all,SC,263,1083
2011,all,SD,12,57
2011,all,TN,817,3525
2011,all,TX,751,3199
2011,all,UT,206,1792
2011,all,VT,64,431
2011,all,VA,311,1434
2011,all,WA,334,1742
2011,all,WV,92,192
2011,all,WI,296,1152
2011,all,WY,320,1956
2012,all,AL,2291,52547
2012,all,AK,7293,26953
2012,all,AZ,326,839
2012,all,AR,46,474
2012,all,CA,1793,11893
2012,all,CO,7919,30644
2012,all,CT,433,1989
2012,all,DE,2898,6127
2012,all,FL,6049,18412
2012,all,GA,373,1255
2012,all,HI,14430,80811
2012,all,ID,3981,15292
2012,all,IL,0,3525
2012,all,IN,23,268
2012,all,IA,38,319
2012,all,KS,148,853
2012,all,KY,44,185
2012,all,LA,296,922
2012,all,ME,1869,5754
2012,all,MT,115,430
2012,all,NE,376,2228
2012,all,NV,24438,116914
2012,all,NH,16,203
2012,all,NJ,1007,6765
2012,all,NM,16478,74834
2012,all,NY,1910,11265
2012,all,NC,3024,8885
2012,all,ND,46,380
2012,all,OH,94,966
2012,all,OK,101,809
2012,all,OR,4,154
2012,all,MD,1942,4388
2012,all,MA,1175,4332
2012,all,MI,74,574
2012,all,MN,747,3972
2012,all,MS,667,2593
2012,all,MO,43,1515
2012,all,PA,493,602
2012,all,RI,195,1520
2012,all,SC,295,1579
2012,all,SD,155,1039
2012,all,TN,766,3023
2012,all,TX,628,3058
2012,all,UT,293,1943
2012,all,VT,50,323
2012,all,VA,246,1251
2012,all,WA,278,1593
2012,all,WV,56,230
2012,all,WI,172,1138
2012,all,WY,302,1941
2013,all,AL,1715,16243
2013,all,AK,7792,29970
2013,all,AZ,369,795
2013,all,AR,9,318
2013,all,CA,1715,10262
2013,all,CO,8242,30001
2013,all,CT,231,1156
2013,all,DE,2426,5087
2013,all,FL,5632,16705
2013,all,GA,358,828
2013,all,HI,7560,45459
2013,all,ID,3058,12664
2013,all,IL,0,532
2013,all,IN,10,64
2013,all,IA,12,145
2013,all,KS,8,174
2013,all,KY,34,232
2013,all,LA,368,2028
2013,all,ME,1131,2676
2013,all,MT,58,144
2013,all,NE,428,2160
2013,all,NV,339,1213
2013,all,NH,0,0
2013,all,NJ,88,572
2013,all,NM,18087,75376
2013,all,NY,1651,10036
2013,all,NC,2896,8073
2013,all,ND,12,89
2013,all,OH,34,656
2013,all,OK,168,808
2013,all,OR,176,980
2013,all,MD,1812,3650
2013,all,MA,1127,2974
2013,all,MI,42,397
2013,all,MN,821,3677
2013,all,MS,353,3052
2013,all,MO,40,1464
2013,all,PA,300,330
2013,all,RI,128,1057
2013,all,SC,233,1517
2013,all,SD,38,114
2013,all,TN,656,2240
2013,all,TX,343,1047
2013,all,UT,76,462
2013,all,VT,18,96
2013,all,VA,210,993
2013,all,WA,219,1453
2013,all,WV,4,38
2013,all,WI,317,1220
2013,all,WY,321,1528
2014,all,AL,1597,12713
2014,all,AK,8964,37277
2014,all,AZ,324,779
2014,all,AR,14,292
2014,all,CA,1518,9150
2014,all,CO,8069,28199
2014,all,CT,279,1170
2014,all,DE,2086,4537
2014,all,FL,5136,16043
2014,all,GA,217,421
2014,all,HI,6511,36759
2014,all,ID,3232,12290
2014,all,IL,0,434
2014,all,IN,4,67
2014,all,IA,19,204
2014,all,KS,40,197
2014,all,KY,24,211
2014,all,LA,538,2330
2014,all,ME,1078,2214
2014,all,MT,75,141
2014,all,NE,555,2205
2014,all,NV,606,1646
2014,all,NH,4,14
2014,all,NJ,151,618
2014,all,NM,16815,75921
2014,all,NY,1788,9547
2014,all,NC,2235,6960
2014,all,ND,20,119
2014,all,OH,42,628
2014,all,OK,146,820
2014,all,OR,180,836
2014,all,MD,1867,3733
2014,all,MA,1055,2719
2014,all,MI,26,294
2014,all,MN,965,3245
2014,all,MS,469,2883
2014,all,MO,197,1424
2014,all,PA,307,312
2014,all,RI,123,898
2014,all,SC,279,1046
2014,all,SD,21,84
2014,all,TN,674,2141
2014,all,TX,288,878
2014,all,UT,83,723
2014,all,VT,12,64
2014,all,VA,302,967
2014,all,WA,297,1437
2014,all,WV,2,4
2014,all,WI,205,818
2014,all,WY,381,1613
2015,all,AL,1195,14701
2015,all,AK,8939,39097
2015,all,AZ,240,492
2015,all,AR,6,365
2015,all,CA,1376,9130
2015,all,CO,8591,30540
2015,all,CT,244,1055
2015,all,DE,2110,4834
2015,all,FL,5285,15818
2015,all,GA,239,546
2015,all,HI,11969,81180
