State,Household Income,Population,Per Capita Income,State Index,Year
Alaska,64635.0,683142.0,29382.0,02,2009
Alabama,41216.0,4633360.0,22732.0,01,2009
Arkansas,38542.0,2838143.0,20977.0,05,2009
Arizona,50296.0,6324865.0,25203.0,04,2009
California,60392.0,36308527.0,29020.0,06,2009
Colorado,56222.0,4843211.0,29679.0,08,2009
Connecticut,67721.0,3494487.0,36468.0,09,2009
District of Columbia,56519.0,588433.0,40846.0,11,2009
Delaware,57618.0,863832.0,28935.0,10,2009
Florida,47450.0,18222420.0,26503.0,12,2009
Georgia,49466.0,9497667.0,25098.0,13,2009
Hawaii,64661.0,1280241.0,28662.0,15,2009
Iowa,48052.0,2978880.0,25060.0,19,2009
Idaho,46183.0,1492573.0,22262.0,16,2009
Illinois,55222.0,12785043.0,28469.0,17,2009
Indiana,47465.0,6342469.0,24044.0,18,2009
Kansas,48394.0,2777835.0,25522.0,20,2009
Kentucky,41197.0,4252000.0,22284.0,21,2009
Louisiana,42167.0,4411546.0,22535.0,22,2009
Massachusetts,64496.0,6511176.0,33460.0,25,2009
Maryland,69475.0,5637418.0,34236.0,24,2009
Maine,46541.0,1316380.0,24980.0,23,2009
Michigan,48700.0,10039208.0,25172.0,26,2009
Minnesota,57007.0,5188581.0,29431.0,27,2009
Missouri,46005.0,5904382.0,24423.0,29,2009
Mississippi,36796.0,2922240.0,19534.0,28,2009
Montana,43089.0,956257.0,22881.0,30,2009
North Carolina,45069.0,9045705.0,24547.0,37,2009
North Dakota,45140.0,639725.0,24978.0,38,2009
Nebraska,47995.0,1772124.0,24568.0,31,2009
New Hampshire,63033.0,1315419.0,30640.0,33,2009
New Jersey,68981.0,8650548.0,34566.0,34,2009
New Mexico,42742.0,1964860.0,22461.0,35,2009
Nevada,55585.0,2545763.0,27395.0,32,2009
New York,55233.0,19423896.0,30634.0,36,2009
Ohio,47144.0,11511858.0,24830.0,39,2009
Oklahoma,41861.0,3610073.0,22561.0,40,2009
Oregon,49033.0,3727407.0,25893.0,41,2009
Pennsylvania,49737.0,12516596.0,26678.0,42,2009
Puerto Rico,18627.0,3940109.0,10056.0,72,2009
Rhode Island,55569.0,1057381.0,28638.0,44,2009
South Carolina,43572.0,4416867.0,23196.0,45,2009
South Dakota,44828.0,796513.0,23445.0,46,2009
Tennessee,42943.0,6158953.0,23557.0,47,2009
Texas,48199.0,23819042.0,24318.0,48,2009
Utah,55642.0,2651816.0,22684.0,49,2009
Virginia,60316.0,7721730.0,31606.0,51,2009
Vermont,51284.0,620414.0,27036.0,50,2009
Washington,56384.0,6465755.0,29320.0,53,2009
Wisconsin,51569.0,5599420.0,26447.0,55,2009
