,ori,data_year,offense,state_abbr,cleared,actual
0,SD0010000,2009,aggravated-assault,SD,1,1
1,SD0010000,2010,aggravated-assault,SD,0,0
2,SD0010000,2011,aggravated-assault,SD,0,0
3,SD0010000,2012,aggravated-assault,SD,0,0
4,SD0010000,2013,aggravated-assault,SD,4,4
5,SD0010000,2014,aggravated-assault,SD,0,0
6,SD0010000,2015,aggravated-assault,SD,1,1
7,SD0010000,2016,aggravated-assault,SD,0,0
8,SD0020000,2009,aggravated-assault,SD,0,0
9,SD0020000,2010,aggravated-assault,SD,0,1
10,SD0020000,2011,aggravated-assault,SD,0,0
11,SD0020000,2012,aggravated-assault,SD,2,2
12,SD0020000,2013,aggravated-assault,SD,2,2
13,SD0020000,2014,aggravated-assault,SD,4,4
14,SD0020000,2015,aggravated-assault,SD,5,5
15,SD0020000,2016,aggravated-assault,SD,4,4
16,SD0020100,2009,aggravated-assault,SD,0,0
17,SD0020100,2010,aggravated-assault,SD,0,0
18,SD0020100,2011,aggravated-assault,SD,0,0
19,SD0020100,2012,aggravated-assault,SD,19,32
20,TN0010000,2009,aggravated-assault,TN,61,101
21,TN0010000,2010,aggravated-assault,TN,75,89
22,TN0010000,2011,aggravated-assault,TN,59,98
23,TN0010000,2012,aggravated-assault,TN,60,79
24,TN0010000,2013,aggravated-assault,TN,41,48
25,TN0010000,2014,aggravated-assault,TN,50,58
26,TN0010000,2015,aggravated-assault,TN,48,61
27,TN0010000,2016,aggravated-assault,TN,71,91
28,TN0010100,2009,aggravated-assault,TN,24,35
29,TN0010100,2010,aggravated-assault,TN,22,38
30,TN0010100,2011,aggravated-assault,TN,24,41
31,TN0010100,2012,aggravated-assault,TN,35,58
32,TN0010100,2013,aggravated-assault,TN,19,30
33,TN0010100,2014,aggravated-assault,TN,26,47
34,TN0010100,2015,aggravated-assault,TN,22,50
35,TN0010100,2016,aggravated-assault,TN,32,50
36,TN0010200,2009,aggravated-assault,TN,2,2
37,TN0010200,2010,aggravated-assault,TN,7,10
38,TN0010200,2011,aggravated-assault,TN,7,10
39,TN0010200,2012,aggravated-assault,TN,2,2
40,TX0000000,2009,aggravated-assault,TX,0,0
41,TX0000000,2010,aggravated-assault,TX,0,0
42,TX0000000,2011,aggravated-assault,TX,0,0
43,TX0000000,2012,aggravated-assault,TX,0,0
44,TX0000000,2013,aggravated-assault,TX,0,0
